date,ticker,side,price,shares,reason
2010-06-30,RENT3.SA,BUY,4.453044414520264,10636,REBAL_ADD
2010-07-13,GEPA3.SA,SELL,9.0061674118042,4985,STOP_LOSS
2010-07-14,ALPA3.SA,SELL,3.248649835586548,12826,STOP_LOSS
2010-07-22,TGMA3.SA,SELL,7.366173267364502,5772,STOP_LOSS
2010-08-25,EQTL3.SA,SELL,1.673357367515564,18985,STOP_LOSS
2010-08-31,TOTS3.SA,SELL,6.696417808532715,7478,REBAL_DROP
2010-08-31,SBSP3.SA,SELL,7.371546268463135,6474,REBAL_DROP
2010-08-31,CPFE3.SA,SELL,10.226439476013184,5599,REBAL_DROP
2010-08-31,RADL3.SA,SELL,2.0115740299224854,31191,REBAL_DROP
2010-08-31,FLRY3.SA,SELL,5.734424114227295,8952,REBAL_DROP
2010-08-31,CGRA3.SA,SELL,6.10106897354126,7653,REBAL_DROP
2010-08-31,EGIE3.SA,SELL,8.056487083435059,6444,REBAL_DROP
2010-08-31,RENT3.SA,SELL,5.217850685119629,10636,REBAL_DROP
2010-08-31,ALPA3.SA,BUY,4.674316883087158,10413,REBAL_ADD
2010-08-31,ENEV3.SA,BUY,106.50638580322266,457,REBAL_ADD
2010-08-31,TGMA3.SA,BUY,9.801653861999512,4966,REBAL_ADD
2010-08-31,CMIG3.SA,BUY,2.153958320617676,22598,REBAL_ADD
2010-08-31,EZTC3.SA,BUY,4.351224899291992,11186,REBAL_ADD
2010-08-31,PSSA3.SA,BUY,5.373905181884766,9057,REBAL_ADD
2010-08-31,VLID3.SA,BUY,7.840136051177978,6208,REBAL_ADD
2010-08-31,MILS3.SA,BUY,13.209598541259766,3684,REBAL_ADD
2010-08-31,BRKM3.SA,BUY,7.971519470214844,6106,REBAL_ADD
2010-08-31,ABEV3.SA,BUY,3.7272350788116455,13059,REBAL_ADD
2010-08-31,ECOR3.SA,BUY,6.522984504699707,7462,REBAL_ADD
2010-08-31,LPSB3.SA,BUY,12.535467147827148,3883,REBAL_ADD
2010-09-30,LREN3.SA,SELL,5.425990104675293,12148,REBAL_DROP
2010-09-30,VIVT3.SA,SELL,6.431101322174072,8492,REBAL_DROP
2010-09-30,ALPA3.SA,SELL,4.936079025268555,10413,REBAL_DROP
2010-09-30,ENEV3.SA,SELL,101.97811889648438,457,REBAL_DROP
2010-09-30,CMIG3.SA,SELL,2.040271520614624,22598,REBAL_DROP
2010-09-30,EZTC3.SA,SELL,4.631556510925293,11186,REBAL_DROP
2010-09-30,VLID3.SA,SELL,8.113578796386719,6208,REBAL_DROP
2010-09-30,BRKM3.SA,SELL,8.092912673950195,6106,REBAL_DROP
2010-09-30,ABEV3.SA,SELL,3.8958492279052734,13059,REBAL_DROP
2010-09-30,ECOR3.SA,SELL,6.6415839195251465,7462,REBAL_DROP
2010-09-30,LPSB3.SA,SELL,13.162240982055664,3883,REBAL_DROP
2010-09-30,RENT3.SA,BUY,6.059095859527588,8519,REBAL_ADD
2010-09-30,RADL3.SA,BUY,2.3544723987579346,21924,REBAL_ADD
2010-09-30,PATI3.SA,BUY,6.495147705078125,7947,REBAL_ADD
2010-09-30,POMO3.SA,BUY,1.3082051277160645,39458,REBAL_ADD
2010-09-30,RDNI3.SA,BUY,12.79820442199707,4033,REBAL_ADD
2010-09-30,EGIE3.SA,BUY,8.781331062316895,5878,REBAL_ADD
2010-09-30,BBAS3.SA,BUY,6.310579776763916,8179,REBAL_ADD
2010-09-30,SLCE3.SA,BUY,2.21108341217041,23345,REBAL_ADD
2010-09-30,MOAR3.SA,BUY,27.59966087341309,1870,REBAL_ADD
2010-09-30,BBDC3.SA,BUY,4.790394306182861,10775,REBAL_ADD
2010-09-30,HYPE3.SA,BUY,18.46628189086914,2795,REBAL_ADD
2010-11-30,AMAR3.SA,SELL,102.01609802246094,711,REBAL_DROP
2010-11-30,GUAR3.SA,SELL,7.725618362426758,8079,REBAL_DROP
2010-11-30,ODPV3.SA,SELL,4.525858879089356,17040,REBAL_DROP
2010-11-30,RENT3.SA,SELL,6.00666618347168,8519,REBAL_DROP
2010-11-30,RADL3.SA,SELL,2.287981510162353,21924,REBAL_DROP
2010-11-30,RDNI3.SA,SELL,12.423086166381836,4033,REBAL_DROP
2010-11-30,BBAS3.SA,SELL,6.487034797668457,8179,REBAL_DROP
2010-11-30,SLCE3.SA,SELL,2.222933292388916,23345,REBAL_DROP
2010-11-30,BBDC3.SA,SELL,4.711382865905762,10775,REBAL_DROP
2010-11-30,HYPE3.SA,SELL,19.056304931640625,2795,REBAL_DROP
2010-11-30,LPSB3.SA,BUY,17.182233810424805,3332,REBAL_ADD
