date,ticker,side,price,shares,reason
2011-09-30,JHSF3.SA,BUY,2.546872615814209,16508,REBAL_ADD
2011-09-30,COCE3.SA,BUY,18.242361068725582,2304,REBAL_ADD
2011-09-30,ECOR3.SA,BUY,8.35149097442627,5034,REBAL_ADD
2011-09-30,TUPY3.SA,BUY,8.54853343963623,4918,REBAL_ADD
2011-09-30,VLID3.SA,BUY,9.701719284057615,4333,REBAL_ADD
2011-09-30,ITSA3.SA,BUY,2.9266061782836914,14366,REBAL_ADD
2011-09-30,MILS3.SA,BUY,16.007993698120117,2626,REBAL_ADD
2011-10-03,MILS3.SA,SELL,14.291072845458984,2626,STOP_LOSS
2011-10-05,TOTS3.SA,SELL,7.467827796936035,5021,STOP_LOSS
2011-10-31,ODPV3.SA,SELL,4.877324104309082,10206,REBAL_DROP
2011-10-31,SBSP3.SA,SELL,10.583800315856934,4217,REBAL_DROP
2011-10-31,ECOR3.SA,SELL,8.02469253540039,5034,REBAL_DROP
2011-10-31,ITSA3.SA,SELL,2.8634424209594727,14366,REBAL_DROP
2011-10-31,MYPK3.SA,BUY,15.325112342834473,2729,REBAL_ADD
2011-10-31,CSAN3.SA,BUY,4.104724884033203,10191,REBAL_ADD
2011-10-31,ENEV3.SA,BUY,137.87294006347656,303,REBAL_ADD
2011-10-31,POMO3.SA,BUY,1.919912576675415,21789,REBAL_ADD
2011-10-31,LIGT3.SA,BUY,19.723289489746094,2121,REBAL_ADD
2011-10-31,ENGI3.SA,BUY,1.3067439794540403,32013,REBAL_ADD
2011-11-23,MYPK3.SA,SELL,13.754114151000977,2729,STOP_LOSS
2011-11-30,TPIS3.SA,SELL,28.04245948791504,1697,REBAL_DROP
2011-11-30,TUPY3.SA,SELL,8.3774995803833,4918,REBAL_DROP
2011-11-30,CSAN3.SA,SELL,4.120039463043213,10191,REBAL_DROP
2011-11-30,POMO3.SA,SELL,1.9645618200302124,21789,REBAL_DROP
2011-11-30,ENGI3.SA,SELL,1.2458362579345703,32013,REBAL_DROP
2011-11-30,SCAR3.SA,BUY,19.62724876403809,2132,REBAL_ADD
2011-11-30,TGMA3.SA,BUY,14.329906463623049,2920,REBAL_ADD
2011-11-30,MULT3.SA,BUY,8.734396934509277,4790,REBAL_ADD
2011-11-30,TOTS3.SA,BUY,8.530172348022461,4905,REBAL_ADD
2011-11-30,SBSP3.SA,BUY,11.549531936645508,3623,REBAL_ADD
2011-11-30,CMIG3.SA,BUY,2.790945291519165,14993,REBAL_ADD
2012-01-31,GEPA3.SA,SELL,12.368741035461426,4633,REBAL_DROP
2012-01-31,VIVT3.SA,SELL,9.06650161743164,5036,REBAL_DROP
2012-01-31,TEND3.SA,SELL,4.511235237121582,9935,REBAL_DROP
2012-01-31,BRFS3.SA,SELL,29.650279998779297,1697,REBAL_DROP
2012-01-31,COCE3.SA,SELL,19.040714263916016,2304,REBAL_DROP
2012-01-31,VLID3.SA,SELL,10.95594310760498,4333,REBAL_DROP
2012-01-31,LIGT3.SA,SELL,20.44877243041992,2121,REBAL_DROP
2012-01-31,SCAR3.SA,SELL,20.25986099243164,2132,REBAL_DROP
2012-01-31,TOTS3.SA,SELL,7.913730621337891,4905,REBAL_DROP
2012-01-31,MYPK3.SA,BUY,18.61222267150879,2476,REBAL_ADD
2012-01-31,ODPV3.SA,BUY,5.29416561126709,8706,REBAL_ADD
2012-01-31,RADL3.SA,BUY,2.4076504707336426,19144,REBAL_ADD
2012-01-31,MOAR3.SA,BUY,34.875457763671875,1321,REBAL_ADD
2012-01-31,CSAN3.SA,BUY,4.329869747161865,10645,REBAL_ADD
